Category,Event Name,City,State,Attendance,Exhibitors,Date,Description
"Art, Craft & Collectibles",Salt Lake's Family Christmas Gift Show,Sandy,Utah,"25,000",450,Nov 13 - Nov 15,"A unique shopping experience for the entire family awaits you at the show. You?ll find new gift ideas, original arts and crafts, sculpture, ceramics, specialty foods, home decor, clothing, furniture, floral designs, jewelry, skin care products, antiques, candles, toys and much more.

Utah?s best song and dance studios perform live daily. Enjoy festive performances rich in costume and choreography. Come see some of Utah?s future stars! See the entertainment schedule.

Check out our floorplan to find out where our Artists in Action are, as well as Specialty Foods, Entertainment, and Santa?s Village. There is so much to see and do!"
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Fall '20 Edison, NJ",Edison,New Jersey,-,-,Nov 13 - Nov 15,"The Sugarloaf Crafts Festival returns to Edison at the New Jersey Convention & Expo Center this November. Come check out thousands of beautiful pieces made by talented, professional artists. Support small businesses with holiday shopping you can feel good about!

Sugarloaf Crafts Festivals are overflowing with high quality artwork in every price range. There?s sure to be a gift for everyone on your list. In each genre, the creators have dedicated themselves to producing their most refined and inspired work and they cherish the opportunity to share the stories of their artistic journey with you. If you like a certain style but don?t see exactly what you want, don?t hesitate to ask about custom orders. These artists are happy to help you realize your creative vision.

As you peruse row after row of remarkable original work, you?ll find hand carved wooden bowls, jewelry boxes, fanciful ceramic pieces, stunning apparel items, wildlife photographs and special culinary treats. There is something for every taste, from cabin chic to gleaming and polished. You?re sure to find perfectly unique holiday gifts...and maybe even a treasure or two for yourself! Add in a children?s theatre group and great gourmet foods, a festive, happy atmosphere prevails. It?s the perfect place to enjoy an afternoon or an entire weekend. Bring your list and check it twice!

These crafters make it easy to surprise family, friends and employees with unusual, inspired gifts. You can find inspired home decor pieces and holiday decorations that you?ll will enjoy year after year. These items might be handcrafted but the high caliber artistry looks anything but homemade! It?s hard to imagine how human hands can make such inspired art. But you don?t have to imagine - you can watch the artists first hand at our live demonstrations of glassblowing, iron forging, pottery making and more."
"Art, Craft & Collectibles",Flea Fest - November 2020,Lake Charles,Louisiana,-,-,Nov 14 - Nov 15,Antique & Coin Show
Food & Hospitality,Orlando Beer Festival,Orlando,Florida,-,-,Nov 14 - Nov 14,Food & Beverage Show
RV & Motor Show,West Palm Beach Fall RV Show,West Palm Beach,Florida,-,-,Nov 14 - Nov 17,RV Show
"Literary, Books & Writers",Miami Book Fair 2020,Miami,Florida,-,-,Nov 15 - Nov 22,"Event Overview:

Each year, more than 200,000 local residents and visitors from across the state of Florida, the U.S. and the World come together and descend on Miami for the finest and largest literary event and celebration in the country.

The ever-growing Book Fair now features approximately 500 events each year, including author readings from the most well-known and respected authors in the world, culinary presentations with world class chefs, the wonder-filled Children?s Alley, and entertainment, for children and adults, spanning various genres and continents (Many of these programs are wonderful sponsorship opportunities)."
Animal & Pets,Kennel Club Of Philadelphia's National Dog Show,Oaks,Pennsylvania,-,-,Nov 16 - Nov 17,Horse & Pet Show
RV & Motor Show,"Sand, Water & RV Expo",Lake Havasu City,Arizona,-,-,Nov 16 - Nov 17,RV Show
"Art, Craft & Collectibles",46th Harvest Festival Original Art & Craft Show - Sacramento 2020,Sacramento,California,"14,000",300,Nov 20 - Nov 22,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com"
Retail & Wholesale,"Treasures of the Earth Gem, Mineral & Jewelry Show",Raleigh,North Carolina,-,-,Nov 20 - Nov 22,"Annual Fall Show

This show has something for everyone! Vendors from across the United States bring a variety of merchandise.  Their items include

14K and sterling silver, classic, estate, fashion and handmade jewelry
Wide selection of custom faceted gemstones, art jewelry
Loose stones, beads and beading supplies, pearls
Mineral specimens, rocks, fossils, crystals
Wide selection of custom-faceted gemstones
Friday Noon-6pm, Saturday and Sunday 10am-5pm

$6 for adults, 16 and under free

Visit www.TreasuresOfTheEarth.com for admission discount coupon"
Food & Hospitality,2020 Layton Home Show,Layton,Utah,"3,500",-,Nov 20 - Nov 22,"Event Overview: Featuring the latest in design trends, remodeling, gardening, lifestyle and full home automation. Our Home Shows feature all the favorite attractions a home show customarily brings, with a technical twist! See innovative home-based electronics at this cutting edge show. Tour local and national vendors with products and services for your home, garden and family living. Enjoy live demonstrations, food samples, and more.

About Nationwide Expos:

Nationwide Expos is a Home Show Expo provider based in Denver, CO. The company provides consumers and business around the county a prime opportunity to meet one another through its world-class tradeshows. "
"Art, Craft & Collectibles",Renninger's Mount Dora Antique and Collector's Extravaganza - November 2020,Mount Dora,Florida,-,-,Nov 20 - Nov 22,Antique & Coin Show
"Art, Craft & Collectibles",2020 NYC's Anime Convention,New York,New York,-,-,Nov 20 - Nov 22,Arts & Crafts Show
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Fall '20 Gaithersburg, MD",Gaithersburg,Maryland,-,-,Nov 20 - Nov 22,"Are you ready to shop for the most unique, inspired gifts this holiday season?! Don?t miss our last local show of the year featuring over 450 talented artists and crafters sharing their latest work. Sugarloaf?s Gaithersburg Holiday show runs right before the holidays at the Montgomery County Fairgrounds -- just in time to find the perfect gifts for everyone on your list!

Stroll among the booths of hundreds of artists and crafters showing top quality work. Shop at a leisurely pace taking time to chat with the artists about what inspires their work. Food stands, kids? entertainment and friendly faces make these events a great place to refresh your spirits and maybe find those special gifts. If you?re a regular Sugarloaf fan, you?ll see your favorite artists and some new ones too.

These events are great fun on many levels - beautiful wares to admire and take home, delicious gourmet food (with free samples) and on-site live art demonstrations. Watch experienced artists and master craftspeople turn a lump of clay, block of wood or tube of glass into a museum-quality piece. You might go home with a pleasing home decor piece or some snazzy painted leather shoes or boots. But you could just as easily end the day with an idea for a side hustle of your own.

With the holidays right around the corner, let our specialty food vendors enhance your gatherings with artisanal cheese and sausages, gourmet vinegars and dressings, delicious soups, nut butters, coffee and more. Work your way through the sample stations and take home your favorites for the many get togethers in the months ahead.  

At Sugarloaf, you?ll always find gifts, apparel and food items you simply can?t get anywhere else. Check out the latest artist profiles above and plan your visit ahead or just dive in when you arrive. Order individual or group tickets online for the best discounts. Every ticket is valid for the whole weekend so come back the next day! Area hotels have special Sugarloaf rates. 

The show is conveniently located in the Maryland suburbs outside of Washington, DC."
"Art, Craft & Collectibles",The Salt City Holiday Antiques Show 2020,Syracuse,New York,-,-,Nov 21 - Nov 22,Antique & Coin Show
"Art, Craft & Collectibles","Art, Craft & Wine Festival 2020",Altamonte Springs,Florida,-,-,Nov 21 - Nov 22,Food & Beverage Show
"Art, Craft & Collectibles","Yankeetown Arts, Crafts & Seafood Festival",Jacksonville,Florida,-,-,Nov 21 - Nov 22,Food & Beverage Show
RV & Motor Show,Florida Tiny Living Festival,Orlando,Florida,-,-,Nov 22 - Nov 24,RV Show
"Art, Craft & Collectibles",43rd Harvest Festival Original Art & Craft Show - San Jose 2020,San Jose,California,"12,000",250,Nov 27 - Nov 29,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com"
Boat Show,St. Petersburg Power & SailBoat show 2020,St. Petersburg,Florida,-,-,Dec 3 - Dec 6,Boat Show
"Art, Craft & Collectibles",36th Harvest Festival Original Art & Craft Show - Pomona 2020,Pomona,California,"14,000",310,Dec 4 - Dec 6,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com

Venue:

http://fairplex.com/"
Food & Hospitality,2020 Siesta Beach Seafood & Music Festival,Siesta Key,Florida,-,-,Dec 4 - Dec 6,Food & Beverage Show
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Holiday '20 Chantilly, VA",Chantilly,Virginia,-,-,Dec 4 - Dec 6,"Don?t miss the last chance of the year to find outstanding holiday gifts sold by the makers themselves at Sugarloaf Crafts Festival. The show runs Friday through Sunday at the Dulles Expo Center in Chantilly. This is your opportunity to find special treasures unlike anything you?ll see in stores! Bring your list...there?s something for everyone on it!

A visit to a Sugarloaf Crafts Festival is a feast for the artistic spirit where you can admire the innovative creations of over 300 carefully curated artists. There are gifts for every age group and every interest so  you?re sure to find something that speaks directly to you and fits your budget.

The artists enjoy the opportunity for face to face conversations with customers to share the stories and inspiration behind their work. Our crafters come from the mid-Atlantic region, the northeast and other parts of the United States. They love hearing about your travel experiences and may even have some useful travel tips for when you?re visiting their area. This sense of community between the artists and shoppers is part of what makes the Sugarloaf Experience so special.

Several artists will be providing live demonstrations of their work throughout the festival. Take advantage of this chance to see artists in several mediums at work. See how they turn raw materials of wood, glass and straw into a top quality finished products ready to beautify your home or that of a loved one. When not perusing the crafts or watching a live demo, there is soothing handpan music by Janet Spahr and children?s entertainment by Middle Earth Studios.


Each ticket gives you entry for the entire weekend. Ample free parking and food on site means you can make a day of it! Buy your ticket online and save. For larger groups, inquire about special discounts. More details on specific artists, musicians, area hotels and directions can be found above."
"Literary, Books & Writers",Book and Paper Row 2020,Wilmington,Massachusetts,-,-,Dec 5 - Dec 6,Book Show
RV & Motor Show,Fall Clean Sweep RV Show,Fort Myers,Florida,-,-,Dec 6 - Dec 8,RV Show
Food & Hospitality,2020 Palm Beach Food & Wine Festival,Palm Beach,Florida,-,-,Dec 10 - Dec 13,Food & Beverage Show
Food & Hospitality,2020 Fourth Avenue Winter Street Fair,Tucson,Arizona,-,-,Dec 11 - Dec 13,"Event Overview:

There are two Street Fairs per year, one in Spring and one in the Winter. The Street Fair takes place between Ninth Street and University Blvd. along Fourth Avenue. Free to the public, the Fourth Avenue Street Fair brings together 400+ arts and crafts booths, 35+ food vendors, 2 Fantastic Stages, street musicians, food, jugglers, street performers, face painting, sidewalk entertainment, the ever so popular Free Kids hands-on-art Pavilion and tons of other fun activities.

This is Tucson?s Largest Arts Venue.

A Tucson Tradition

History:
The Fourth Avenue Street Fair began in 1970 when Fourth Avenue merchants put tables in front of their stores to attract customers before the holidays. From that beginning it has developed into one of the premier street fairs in the nation, drawing crowds of 200,000 to 350,000 and ranking as one of the top visual arts fairs in the country.

There is something for everyone at the Street Fair:
Come for the shopping: 400+ artists booths featuring arts and crafts that cover the spectrum from fine art to country crafts. Glass, clay, wood, clothing, metal, jewelry, pre-packaged food, all hand made and offered for sale by their creators. Come for the food: 35+ food vendors selling an eclectic mix of good things to eat. Greek, Mexican, Thai, BBQ, fry bread, funnel cakes, chicken, and more. Come for the music: Two complete stages featuring only original music and local community performances. Three days of entertainment offering something for everyone! Come for the entertainment: How about flight simulators; climbing rocks; face painting; chair massages; everything and anything you can imagine! The two annual Street Fairs are Tucson?s biggest events, and they could nott happen without our sponsors!

Exhibitor Information:

The Fourth Avenue Street Fair, Nationally recognized as one of the premier community celebrations in the Southwest, is held biannually in the gorgeous desert of Tucson, Arizona. Explore 45 year old tradition that attracts more that 600,000 visitors each year. Our family event offers a moderate to upscale audience, 57% between the ages of 25-54. We host two street level stages, two children?s play areas, a children?s hands on art activity area and tantalizing treats from 40+ food concessionaires. As always, admission to the festival is free and open to the public.

Why Exhibit at the 4th Avenue Street Fair?
We deliver an excited audience to our artists. More than 70% of our exhibiting artists return year after year. Fair management is experienced and hands-on, focusing on customer service and artists satisfaction. Our family-friendly event offers a moderate to upscale audience of 200,000 to 300,000 art lovers and collectors.

We offer our artists:
Quick and speedy check-in registration
Professional show management which is courteous and respectful
Artist courtesy carts, delivering complimentary snacks and water to artist booths all three days of the event
Readily available, experienced and reliable booth sitters.
?Best of Show Award? which includes a booth and special booth placement at the next Fair

About FAMA:

Formed in 1974 the Fourth Avenue Merchants Association (FAMA) is comprised of member merchants from the Fourth Avenue Historic Shopping District (the area between 9th St.; University Blvd.; 5th Ave.; and 3rd Ave). FAMA is a nonprofit organization dedicated to the growth and development of the businesses and communities in the Fourth Avenue area, but FAMA also benefits a wide range of other nonprofit groups throughout Tucson. FAMA supports programs of a civic, social, cultural or artistic nature that are designed to increase the function and aesthetic values of the community, and also economic programs designed to strengthen and expand the economic potential of North Fourth Avenue."
Food & Hospitality,Lakeridge Winery Wine & Chocolate Festival,Clermont,Florida,-,-,Dec 11 - Dec 13,Food & Beverage Show
Food & Hospitality,2020 Coquina Beach Seafood & Music Festival,Bradenton Beach,Florida,-,-,Dec 11 - Dec 13,Food & Beverage Show
Food & Hospitality,Holiday Chocolate Festival Colorado Springs,Colorado Springs,Colorado,-,-,Dec 12 - Dec 12,Food & Beverage Show
